consumable_id,display_name,category,subcategory,item_group,specificity,parent_id,selectable,aliases,default_unit,allowed_units,requires_dosage_confirmation,search_keywords,sort_order,active,implementation_note
food_meals_and_eating_occasions_meal,Meal,Food,Meals and eating occasions,General,general,,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Meal Food Meals and eating occasions General,1,TRUE,General option remains selectable when the user does not want to choose a specific item.
food_meals_and_eating_occasions_breakfast,Breakfast,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Breakfast Food Meals and eating occasions Meal type,2,TRUE,
food_meals_and_eating_occasions_brunch,Brunch,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Brunch Food Meals and eating occasions Meal type,3,TRUE,
food_meals_and_eating_occasions_lunch,Lunch,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Lunch Food Meals and eating occasions Meal type,4,TRUE,
food_meals_and_eating_occasions_dinner,Dinner,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Dinner Food Meals and eating occasions Meal type,5,TRUE,
food_meals_and_eating_occasions_supper,Supper,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Supper Food Meals and eating occasions Meal type,6,TRUE,
food_meals_and_eating_occasions_snack,Snack,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Snack Food Meals and eating occasions Meal type,7,TRUE,
food_meals_and_eating_occasions_dessert,Dessert,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Dessert Food Meals and eating occasions Meal type,8,TRUE,
food_meals_and_eating_occasions_late_night_meal,Late-night meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Late-night meal Food Meals and eating occasions Meal type,9,TRUE,
food_meals_and_eating_occasions_home_cooked_meal,Home-cooked meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Home-cooked meal Food Meals and eating occasions Meal type,10,TRUE,
food_meals_and_eating_occasions_restaurant_meal,Restaurant meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Restaurant meal Food Meals and eating occasions Meal type,11,TRUE,
food_meals_and_eating_occasions_takeaway_meal,Takeaway meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Takeaway meal Food Meals and eating occasions Meal type,12,TRUE,
food_meals_and_eating_occasions_fast_food_meal,Fast-food meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Fast-food meal Food Meals and eating occasions Meal type,13,TRUE,
food_meals_and_eating_occasions_buffet_meal,Buffet meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Buffet meal Food Meals and eating occasions Meal type,14,TRUE,
food_meals_and_eating_occasions_leftovers,Leftovers,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Leftovers Food Meals and eating occasions Meal type,15,TRUE,
food_meals_and_eating_occasions_ready_meal,Ready meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Ready meal Food Meals and eating occasions Meal type,16,TRUE,
food_meals_and_eating_occasions_meal_replacement,Meal replacement,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Meal replacement Food Meals and eating occasions Meal type,17,TRUE,
food_meals_and_eating_occasions_street_food,Street food,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Street food Food Meals and eating occasions Meal type,18,TRUE,
food_meals_and_eating_occasions_hospital_meal,Hospital meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Hospital meal Food Meals and eating occasions Meal type,19,TRUE,
food_meals_and_eating_occasions_airline_meal,Airline meal,Food,Meals and eating occasions,Meal type,specific,food_meals_and_eating_occasions_meal,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Airline meal Food Meals and eating occasions Meal type,20,TRUE,
